seed,depth,task,auc,average_precision,iou_top7,centroid_error,relative_residual
17,1,74,0.9989158543863139,0.9917125793108994,0.6545454545454545,0.025682153180241585,2.405940294265747
17,1,75,0.9976777517734357,0.9590817923819603,0.7916666666666666,0.01678486540913582,2.8560922145843506
17,1,76,0.9992657424812029,0.9942033247685984,0.6428571428571429,0.02967347949743271,2.439446210861206
17,1,77,0.9980215947957883,0.9679141753028857,0.8356164383561644,0.013106133788824081,2.800485372543335
17,1,78,0.9975511589564542,0.9437701695439333,0.5833333333333334,0.03075517527759075,3.3335025310516357
17,1,79,0.9984963596074706,0.9723223469966398,0.7222222222222222,0.0019557878840714693,3.5381948947906494
17,1,80,0.9992901992901994,0.9937019037938382,0.7272727272727273,0.02402740903198719,2.5223400592803955
17,1,81,0.9989331781592473,0.9772085087077658,0.5833333333333334,0.055753037333488464,3.348731517791748
17,1,82,0.997783285976261,0.962170722001232,0.684931506849315,0.006516867782920599,3.4545326232910156
17,1,83,0.9987593052109182,0.9809766940227829,0.8611111111111112,0.004046184476464987,3.1334407329559326
17,1,84,0.9998055364905055,0.9982473947941108,0.7659574468085106,0.013093005865812302,2.772404193878174
17,1,85,0.9981857435729966,0.9692298168241135,0.7916666666666666,0.012813109904527664,2.9730942249298096
17,1,86,0.9967981557377049,0.9345449900054259,0.6666666666666666,0.014417387545108795,3.074190139770508
17,1,87,0.9991464510332434,0.9877040722279267,0.8933333333333333,0.012812809087336063,2.909055471420288
17,1,88,0.9996774875165426,0.9968178709027984,0.7422680412371134,0.013430353254079819,2.585029125213623
17,1,89,0.9985937348462807,0.9706470366009994,0.5833333333333334,0.048136383295059204,3.3394758701324463
17,1,90,0.9996542932457544,0.9957374666909634,0.9078947368421053,0.0076694181188941,2.8714170455932617
17,1,91,0.9989257812500001,0.9846878522108009,0.8378378378378378,0.016940942034125328,2.8089165687561035
17,1,92,0.998255889626448,0.9539947997950599,0.5416666666666666,0.053191494196653366,3.554123878479004
17,1,93,0.9983766233766234,0.9652157355399048,0.6111111111111112,0.015165181830525398,3.4000489711761475
17,1,94,0.9991975957049487,0.989454198146763,0.8947368421052632,0.009067469276487827,2.8641645908355713
17,1,95,0.999678191004366,0.9971894204969092,0.7128712871287128,0.017694570124149323,2.523123264312744
17,1,96,0.9990954715219421,0.9891024261642432,0.8701298701298701,0.003041308606043458,3.0335536003112793
17,1,97,0.9991459479977225,0.9879539555413718,0.8904109589041096,0.003818864468485117,3.3092503547668457
17,1,98,0.9986777162457615,0.9847402520844596,0.8214285714285714,0.02534603886306286,2.5671749114990234
17,1,99,0.9984587240539878,0.9806239886524339,0.7901234567901234,0.014017094857990742,2.609938383102417
17,1,100,0.9995902846241502,0.9951918640050521,0.8452380952380952,0.01026219129562378,2.921740770339966
17,1,101,0.9996600621600622,0.996247931502026,0.8181818181818182,0.010598928667604923,2.569640636444092
17,1,102,0.9998765265804598,0.9988238502682569,0.75,0.011025495827198029,2.7097275257110596
17,1,103,0.9981642759562841,0.9648818899216383,0.6666666666666666,0.00759487971663475,3.179029941558838
17,1,104,0.9997886987177349,0.9980179236578752,0.7422680412371134,0.01285103801637888,2.7802231311798096
17,1,105,0.998974609375,0.9855112556179588,0.8378378378378378,0.003512938506901264,3.2555935382843018
17,1,106,0.9991706009952788,0.9929217453348564,0.7058823529411765,0.02990826591849327,2.3751587867736816
17,1,107,0.9982245131729668,0.9690794577481079,0.75,0.010763321071863174,2.9797182083129883
17,1,108,0.9977105005779319,0.9509590463466286,0.6388888888888888,0.006288937292993069,3.214169502258301
17,1,109,0.9973100616016427,0.9493529496641437,0.6944444444444444,0.002158721908926964,3.1608359813690186
17,1,110,0.9990493064258242,0.9876121106504252,0.8831168831168831,0.006548398174345493,2.8771555423736572
17,1,111,0.9998856097002974,0.9989302454181589,0.7659574468085106,0.009596817195415497,2.8114805221557617
17,1,112,0.9997144896502498,0.9971116669633724,0.8,0.011399375274777412,2.582747220993042
17,1,113,0.9987663693300436,0.9820188009431292,0.84,0.011728940531611443,2.955131769180298
17,1,114,0.9975025614754098,0.9443550655682069,0.6666666666666666,0.007354265544563532,3.293109178543091
17,1,115,0.9977812663526949,0.9553690392044374,0.6805555555555556,0.003266318468376994,3.523710250854492
17,1,116,0.9971322537112011,0.9279779318728492,0.5,0.06485389173030853,3.4969546794891357
17,1,117,0.998822188449848,0.9861692257797499,0.813953488372093,0.026208462193608284,2.573270797729492
17,1,118,0.9998845038864442,0.9988118628135632,0.7741935483870968,0.013333638198673725,2.742917537689209
17,1,119,0.9988311688311688,0.9901729043292107,0.72,0.033182285726070404,2.3119802474975586
17,1,120,0.9987612174639529,0.9822958635613502,0.8589743589743589,0.020287837833166122,2.6088414192199707
17,1,121,0.9992026398753665,0.9910183560141943,0.8068181818181818,0.028917919844388962,2.6343159675598145
17,1,122,0.9992907801418439,0.9931652424021451,0.7659574468085106,0.025767600163817406,2.449178457260132
17,1,123,0.9996584337420351,0.996429696588008,0.7912087912087912,0.011809405870735645,2.855419635772705
17,1,124,0.9991933953311823,0.9880213297481935,0.8904109589041096,0.0033999851439148188,3.1720030307769775
17,1,125,0.9995177817962627,0.99418238220808,0.8875,0.010898507200181484,2.6811468601226807
17,1,126,0.9967048337007799,0.9276970066393604,0.5753424657534246,0.06432662159204483,3.1909732818603516
17,1,127,0.9991922669491525,0.9918536587188006,0.8765432098765432,0.016475753858685493,2.5288939476013184
17,1,128,0.9974955900607592,0.9493863085100711,0.6527777777777778,0.012762423604726791,3.3406872749328613
