architecture,affine_depth,width,rank_ratio,grid_size,target_kind,powerlaw_alpha,powerlaw_max_frequency,optimizer,learning_rate,steps,record_every,seed,bias_scale,tag,rank,stable,elapsed_seconds,final_loss,final_parameter_displacement,final_feature_displacement,t50_1,final_relative_error_1,t50_4,final_relative_error_4,t50_8,final_relative_error_8,t50_16,final_relative_error_16,t50_2,final_relative_error_2,t50_3,final_relative_error_3,t50_5,final_relative_error_5,t50_6,final_relative_error_6,t50_7,final_relative_error_7,t50_9,final_relative_error_9,t50_10,final_relative_error_10,t50_11,final_relative_error_11,t50_12,final_relative_error_12,t50_13,final_relative_error_13,t50_14,final_relative_error_14,t50_15,final_relative_error_15,t50_17,final_relative_error_17,t50_18,final_relative_error_18,t50_19,final_relative_error_19,t50_20,final_relative_error_20,t50_21,final_relative_error_21,t50_22,final_relative_error_22,t50_23,final_relative_error_23,t50_24,final_relative_error_24
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,5,0.1,hierarchy_fc_d7_mup_gd_s5,128,True,4.206135611049831,0.015459898859262466,0.2400309294462204,10.832781791687012,25.0,0.0229111909866333,250.0,0.00879768224862909,425.0,0.07227582401699492,1650.0,0.2884814739227295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,6,0.1,hierarchy_fc_d7_mup_gd_s6,128,True,4.103175568045117,0.020904280245304108,0.2294660210609436,10.994062423706055,25.0,0.02170729637145996,175.0,0.05096219136164742,400.0,0.12274910344017878,2350.0,0.44494307041168213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc,7,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,7,0.1,hierarchy_fc_d7_mup_gd_s7,128,True,4.128895869944245,0.012065722607076168,0.23414750397205353,9.151228904724121,25.0,0.018323063850402832,200.0,0.0347543129554162,425.0,0.07492147551642526,1975.0,0.34004028638203937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmnn,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,0,0.1,hierarchy_mmnn_d3_mup_gd_s0,32,True,2.3255107019795105,0.020489847287535667,0.640326201915741,6.661120891571045,25.0,0.03968095779418945,250.0,0.03164892930250898,650.0,0.18277415964338517,,0.627721110979716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmnn,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,1,0.1,hierarchy_mmnn_d3_mup_gd_s1,32,True,2.4773559799650684,0.023136433213949203,0.645939290523529,5.272770404815674,25.0,0.008741497993469238,225.0,0.06300775821392349,575.0,0.18081230587429473,,0.6276873846848806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmnn,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,2,0.1,hierarchy_mmnn_d3_mup_gd_s2,32,True,2.464258315972984,0.020995425060391426,0.6660333871841431,4.818908214569092,25.0,0.026267528533935547,250.0,0.031962816531841534,675.0,0.20354174243079293,,0.6318359424670538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmnn,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,3,0.1,hierarchy_mmnn_d3_mup_gd_s3,32,True,2.438592802034691,0.023005975410342216,0.6573161482810974,4.654209136962891,25.0,0.07616794109344482,250.0,0.0004492906423715103,525.0,0.18569538328382706,,0.6477490415175756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmnn,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,4,0.1,hierarchy_mmnn_d3_mup_gd_s4,32,True,2.5433760829037055,0.028984183445572853,0.6319282650947571,5.43463659286499,25.0,0.01716315746307373,250.0,0.028930499003483663,500.0,0.21736346350775826,,0.6579625954230627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmnn,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,5,0.1,hierarchy_mmnn_d3_mup_gd_s5,32,True,2.4633397959405556,0.02971060387790203,0.6730449795722961,5.190324783325195,25.0,0.02317047119140625,200.0,0.05169718082134537,750.0,0.16709469424353707,,0.6364284555117289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmnn,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,6,0.1,hierarchy_mmnn_d3_mup_gd_s6,32,True,2.4768797279102728,0.025128262117505074,0.6641414165496826,6.006044864654541,25.0,0.012066006660461426,225.0,0.04072625820453347,625.0,0.2034456464979384,,0.6577225128809611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmnn,3,128,0.25,128,hierarchy,1.25,24,mup_gd,0.3,2500,25,7,0.1,hierarchy_mmnn_d3_mup_gd_s7,32,True,2.3299970299704,0.03103356808423996,0.6282414197921753,5.234948635101318,25.0,0.03266501426696777,200.0,0.03304991355309116,625.0,0.2093239227930705,,0.66811403632164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p0,0.003,2500,25,0,0.1,hierarchy_mmnn_d5_muon_p0_s0,32,True,15.120476284995675,0.0006987039232626557,0.944807231426239,19.320446014404297,75.0,0.0052258968353271484,150.0,0.007591651036189187,225.0,0.005105111334058949,475.0,0.02276347080866492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p0,0.003,2500,25,1,0.1,hierarchy_mmnn_d5_muon_p0_s1,32,True,15.140635024989024,0.0008650155505165458,0.9551305770874023,17.761272430419922,75.0,0.0008740425109863281,150.0,0.00803439433758072,225.0,0.015985661082797604,475.0,0.013342658678690555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmnn,5,128,0.25,128,hierarchy,1.25,24,muon_p0,0.003,2500,25,2,0.1,hierarchy_mmnn_d5_muon_p0_s2,32,True,15.314998414949514,0.0006669638678431511,0.9310677647590637,21.40494728088379,75.0,0.0072174072265625,150.0,0.01188015937805179,225.0,9.711583455406113e-05,450.0,0.015324910481770797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
