method,depth,context_size,average_precision_mean_candidate,physical_mean_relative_residual_mean_candidate,physical_covariance_relative_residual_mean_candidate,average_precision_mean_cg,physical_mean_relative_residual_mean_cg,physical_covariance_relative_residual_mean_cg,physical_mean_residual_gain,physical_covariance_residual_gain,average_precision_delta,runtime_ratio
context-PCG,48,32,0.7900822642319506,0.06833309359661226,0.0017388638199574032,0.7899487177838511,0.14510851834590233,0.004559890445393815,2.123546742995642,2.622339019915613,0.00013354644809948635,1.2015989434147545
context-PCG,64,32,0.7901004756741317,0.009602258781742815,0.0001704636988580923,0.7901053817869921,0.03966175860564575,0.001310617278379869,4.13046133281227,7.688541825382613,-4.906112860414424e-06,1.1534997307264014
context-PCG,96,32,0.7901065806802366,0.00024339580099440295,5.837919596545016e-06,0.7901047616803092,0.0025344937369784783,8.260172359355696e-05,10.41305448419285,14.149171160637794,1.8189999274609292e-06,1.0985890195263415
context-PCG,128,32,0.7901065806802366,0.00024370744958578138,6.012077401843878e-06,0.7901110873754321,0.00033134480621633866,9.498627154666142e-06,1.3596006473315057,1.5799242956773902,-4.506695195471977e-06,1.078072101855322
context-PCG,1,48,0.6136146187230151,5.164535501173565,0.7823746835901624,0.7281950310910629,1.7473873850845156,0.40833050048067454,0.33834357120547387,0.5219116991451292,-0.11458041236804772,1.5510356007882247
context-PCG,2,48,0.7633651786633161,5.21577977566492,0.4647129046775046,0.7571191531656583,2.5010548553296497,0.26859933661208263,0.4795169587103223,0.5779898382604238,0.006246025497657848,1.5312235478384835
context-PCG,4,48,0.8024706792419669,3.548360193059558,0.23248288789320556,0.7844620342076849,2.6254804152108373,0.24702349098931461,0.7399137270072429,1.0625448316987034,0.01800864503428201,1.497661640393614
context-PCG,8,48,0.8089607572939512,2.3885115952718827,0.10088090305881836,0.8142471260311653,2.2456445282413844,0.19577074560913296,0.9401857343655743,1.9406125408590893,-0.005286368737214109,1.4444091479793335
context-PCG,16,48,0.8073234762007055,1.6707833521068096,0.04275545088707332,0.7985377448721693,2.106192607609999,0.09754536003761344,1.2606018637629772,2.2814719062430773,0.008785731328536217,1.3693751802231025
context-PCG,32,48,0.8048250184987147,0.5207750297240203,0.012651515932659388,0.8015683249352973,1.0670319030150062,0.03003508476762185,2.0489306170852113,2.3740305057109774,0.003256693563417401,1.3143993689077706
context-PCG,48,48,0.8034826586131734,0.21244970149321787,0.0049157924303948036,0.8029770672325139,0.48481600044206496,0.013828544621078605,2.2820272141335156,2.813085543558638,0.0005055913806594203,1.247939840875859
context-PCG,64,48,0.8037165190929069,0.0759632068946389,0.0014257114452815845,0.8036881397746491,0.20064748166173338,0.005678658325840407,2.6413771859320234,3.983034817202331,2.8379318257720776e-05,1.206921981913715
context-PCG,96,48,0.803691998707789,0.0049442532073866695,0.00011399341167902547,0.8036538432051279,0.0355957557677313,0.0010073409915396744,7.199420069051392,8.836835188125375,3.81555026610636e-05,1.154633042123017
context-PCG,128,48,0.803691998707789,0.0004481214833243771,9.59006233155638e-06,0.8036832747157409,0.006205112786292754,0.00018205736455994927,13.84694333389306,18.983960506792975,8.723992048098594e-06,1.1151338861017714
