seed,method,network_width,parameter_count,context_size,context_measurements,depth,batch_size,inference_ms,peak_memory_mib,matvec_proxy
43,looped-Chebyshev,64,66435,32,1024,32,8,6.921230550506152,550.7880859375,26738688
43,looped-Chebyshev,64,66435,48,2304,32,8,11.294366998481564,557.7822265625,61341696
17,looped-Chebyshev,256,364035,8,64,32,8,6.005167149123736,551.658203125,1622016
17,looped-Chebyshev,256,364035,12,144,32,8,6.20805759972427,553.626953125,3667968
17,looped-Chebyshev,256,364035,16,256,32,8,6.238578399643302,555.61669921875,6553600
17,looped-Chebyshev,256,364035,24,576,32,8,6.55645664955955,560.451171875,14893056
17,looped-Chebyshev,256,364035,32,1024,32,8,6.805105099920183,565.54443359375,26738688
17,looped-Chebyshev,256,364035,48,2304,32,8,11.271554898121394,573.57373046875,61341696
29,looped-Chebyshev,256,364035,8,64,32,8,6.011120151379146,543.18115234375,1622016
29,looped-Chebyshev,256,364035,12,144,32,8,6.202620000112802,545.14990234375,3667968
29,looped-Chebyshev,256,364035,16,256,32,8,6.227510800817981,547.1396484375,6553600
29,looped-Chebyshev,256,364035,24,576,32,8,6.570444698445499,552.03662109375,14893056
29,looped-Chebyshev,256,364035,32,1024,32,8,6.88973244978115,557.1298828125,26738688
29,looped-Chebyshev,256,364035,48,2304,32,8,11.178191599901766,564.1240234375,61341696
43,looped-Chebyshev,256,364035,8,64,32,8,6.014244799735025,550.783203125,1622016
43,looped-Chebyshev,256,364035,12,144,32,8,6.172755849547684,552.751953125,3667968
43,looped-Chebyshev,256,364035,16,256,32,8,6.209104249137454,554.74169921875,6553600
43,looped-Chebyshev,256,364035,24,576,32,8,6.535402650479227,560.341796875,14893056
43,looped-Chebyshev,256,364035,32,1024,32,8,6.866740100667812,564.79443359375,26738688
43,looped-Chebyshev,256,364035,48,2304,32,8,11.2926105997758,572.67919921875,61341696
17,looped-Chebyshev,32,31171,8,64,32,8,6.038516751141287,545.712890625,1622016
17,looped-Chebyshev,32,31171,12,144,32,8,6.219736751518212,547.681640625,3667968
17,looped-Chebyshev,32,31171,16,256,32,8,6.318598799407482,549.67138671875,6553600
17,looped-Chebyshev,32,31171,24,576,32,8,6.602394598303363,555.271484375,14893056
17,looped-Chebyshev,32,31171,32,1024,32,8,6.847800797550008,559.72412109375,26738688
17,looped-Chebyshev,32,31171,48,2304,32,8,11.374481351231225,567.60888671875,61341696
29,looped-Chebyshev,32,31171,8,64,32,8,6.022486899746582,538.49853515625,1622016
29,looped-Chebyshev,32,31171,12,144,32,8,6.223713199142367,540.46728515625,3667968
29,looped-Chebyshev,32,31171,16,256,32,8,6.240436699590646,542.45703125,6553600
29,looped-Chebyshev,32,31171,24,576,32,8,6.652384999324568,547.35400390625,14893056
29,looped-Chebyshev,32,31171,32,1024,32,8,7.013629050925374,552.447265625,26738688
29,looped-Chebyshev,32,31171,48,2304,32,8,11.30690739955753,559.44140625,61341696
43,looped-Chebyshev,32,31171,8,64,32,8,6.011625699466094,546.9755859375,1622016
43,looped-Chebyshev,32,31171,12,144,32,8,6.195602798834443,548.9443359375,3667968
43,looped-Chebyshev,32,31171,16,256,32,8,6.238559147459455,550.93408203125,6553600
43,looped-Chebyshev,32,31171,24,576,32,8,6.54876499902457,555.7685546875,14893056
43,looped-Chebyshev,32,31171,32,1024,32,8,6.910261599114165,560.86181640625,26738688
43,looped-Chebyshev,32,31171,48,2304,32,8,11.272196299978532,568.89111328125,61341696
17,looped-Chebyshev,512,990211,8,64,32,8,6.144335900899023,555.44384765625,1622016
17,looped-Chebyshev,512,990211,12,144,32,8,6.187761898036115,557.41259765625,3667968
17,looped-Chebyshev,512,990211,16,256,32,8,6.219151851837523,559.40234375,6553600
17,looped-Chebyshev,512,990211,24,576,32,8,6.5475270501337945,564.05322265625,14893056
17,looped-Chebyshev,512,990211,32,1024,32,8,6.792359848623164,568.212890625,26738688
17,looped-Chebyshev,512,990211,48,2304,32,8,11.379073199350389,576.24609375,61341696
29,looped-Chebyshev,512,990211,8,64,32,8,6.002780748531222,574.40234375,1622016
29,looped-Chebyshev,512,990211,12,144,32,8,6.14595144870691,576.37109375,3667968
29,looped-Chebyshev,512,990211,16,256,32,8,6.214460951741785,578.36083984375,6553600
29,looped-Chebyshev,512,990211,24,576,32,8,6.577362399548292,583.98828125,14893056
29,looped-Chebyshev,512,990211,32,1024,32,8,6.858815599116497,586.66357421875,26738688
29,looped-Chebyshev,512,990211,48,2304,32,8,11.155992350541055,595.86083984375,61341696
43,looped-Chebyshev,512,990211,8,64,32,8,5.987544200615957,569.970703125,1622016
43,looped-Chebyshev,512,990211,12,144,32,8,6.159952151938342,571.939453125,3667968
43,looped-Chebyshev,512,990211,16,256,32,8,6.221313501009718,573.92919921875,6553600
43,looped-Chebyshev,512,990211,24,576,32,8,6.50952490104828,578.650390625,14893056
43,looped-Chebyshev,512,990211,32,1024,32,8,6.866148149129003,583.79052734375,26738688
43,looped-Chebyshev,512,990211,48,2304,32,8,11.3197486003628,591.71826171875,61341696
17,looped-Richardson,64,66435,8,64,32,8,4.913234448758885,559.6328125,1622016
17,looped-Richardson,64,66435,12,144,32,8,5.045347698614933,561.6015625,3667968
17,looped-Richardson,64,66435,16,256,32,8,5.115182700683363,563.59130859375,6553600
17,looped-Richardson,64,66435,24,576,32,8,5.449343851068988,569.15234375,14893056
17,looped-Richardson,64,66435,32,1024,32,8,5.672245001187548,572.80029296875,26738688
17,looped-Richardson,64,66435,48,2304,32,8,10.194025048986076,581.33349609375,61341696
29,looped-Richardson,64,66435,8,64,32,8,4.897860801429488,550.22412109375,1622016
29,looped-Richardson,64,66435,12,144,32,8,5.044893349986523,552.19287109375,3667968
29,looped-Richardson,64,66435,16,256,32,8,5.107512651011348,554.1826171875,6553600
29,looped-Richardson,64,66435,24,576,32,8,5.458849048591219,559.00927734375,14893056
29,looped-Richardson,64,66435,32,1024,32,8,5.756500599090941,563.3291015625,26738688
29,looped-Richardson,64,66435,48,2304,32,8,10.056009702384472,571.0263671875,61341696
43,looped-Richardson,64,66435,8,64,32,8,4.923605499789119,552.03076171875,1622016
43,looped-Richardson,64,66435,12,144,32,8,5.0561445008497685,553.99951171875,3667968
43,looped-Richardson,64,66435,16,256,32,8,5.094855398056097,555.9892578125,6553600
43,looped-Richardson,64,66435,24,576,32,8,5.435930998646654,560.81591796875,14893056
43,looped-Richardson,64,66435,32,1024,32,8,5.751658699591644,565.1357421875,26738688
43,looped-Richardson,64,66435,48,2304,32,8,10.153222701046616,572.8330078125,61341696
17,looped-Richardson,256,364035,8,64,32,8,5.140052750357427,564.16796875,1622016
17,looped-Richardson,256,364035,12,144,32,8,5.255012901034206,566.13671875,3667968
17,looped-Richardson,256,364035,16,256,32,8,5.336768750566989,568.12646484375,6553600
17,looped-Richardson,256,364035,24,576,32,8,5.682897500810213,573.6875,14893056
17,looped-Richardson,256,364035,32,1024,32,8,5.9830013022292405,577.33544921875,26738688
17,looped-Richardson,256,364035,48,2304,32,8,10.407968898653053,585.86865234375,61341696
