method,scenario,category,n_tasks,average_precision_mean,average_precision_ci95,auc_mean,auc_ci95,area_matched_iou_mean,area_matched_iou_ci95,score_correlation_mean,score_correlation_ci95,mean_relative_residual_mean,mean_relative_residual_ci95,covariance_relative_residual_mean,covariance_relative_residual_ci95,balanced_brier_mean,balanced_brier_ci95,balanced_nll_mean,balanced_nll_ci95,balanced_ece_mean,balanced_ece_ci95,uncertainty_error_auc_mean,uncertainty_error_auc_ci95,certificate_mean,certificate_ci95,boundary_residual_mean,boundary_residual_ci95
learned-Richardson,two obstacles,ID,4,0.18869070469112006,0.07766442327255242,0.8393437426152657,0.025892065920321648,0.12058933933933934,0.011466526612115821,-0.3533496570806849,0.06786736323723698,0.6849167793989182,0.01291313245816476,0.06715075485408306,0.0015122084865384585,0.19805698096752167,0.009265594528702688,0.579193577170372,0.020830625684694994,0.17116151377558708,0.00417108301057078,0.6196374023922413,0.03867353590681185,1.0,0.0,1.4980280980125826e-06,2.6369704452573316e-07
learned-Richardson,wavenumber 12,OOD frequency,4,0.2757033030407127,0.16870859965398233,0.8792175267572939,0.07495723405878355,0.17554824561403506,0.12511777571999227,-0.2617411050963522,0.10084595098883081,0.5967996269464493,0.014411529995524641,0.06656442955136299,0.0018897502193482363,0.24319003149867058,0.03383530693986852,0.6782814860343933,0.09136717539614449,0.28060629218816757,0.026587279106334627,0.42978562248760815,0.11204997250559162,0.75,0.49,1.018519107276461e-06,5.595857229668522e-07
population-PCG,180 degree aperture,OOD aperture,4,0.49572355526487755,0.08404921907597641,0.9671680353308797,0.005825821836575029,0.29031836720935716,0.04464506554279822,0.9999991910340162,3.4035735419064334e-07,0.06277843937277794,0.008708634716511687,0.003188175556715578,0.0009416998788866558,0.07280746474862099,0.018947216499391177,0.7041172683238983,0.2958282267878833,0.07756597176194191,0.0164268843944665,0.6953448904090584,0.043253274749219556,0.0,0.0,1.3170625265956915e-06,3.8641475421787404e-07
population-PCG,30 percent noise,OOD noise,4,0.6771232472284283,0.07912780008663005,0.9780145220836642,0.005717976836912237,0.45524694839917873,0.09375500472531526,0.9999997496327979,5.2667332939210776e-08,0.016188071109354496,0.006678701024566101,0.0008643782493891194,0.00040438392287278245,0.17578785121440887,0.011203576127626758,2.107972502708435,0.15551803087690635,0.18163585662841797,0.010750473938447051,0.5664685580901049,0.017578246433702555,0.0,0.0,1.2494849386257556e-06,2.0196030773425082e-07
population-PCG,four obstacles,ID,4,0.780567468541687,0.05606391057738661,0.9819396581731985,0.0049709666958736,0.507101677148847,0.05995151773459817,0.9999952225452517,1.4978143556193344e-06,0.1229278277605772,0.03384269809112233,0.006176119961310178,0.002224310080493203,0.11449875123798847,0.006210367685391405,1.4191175401210785,0.0901878540638526,0.11725289188325405,0.00643178772110666,0.5845382489390135,0.009786285462966454,0.0,0.0,1.4382549409219791e-06,6.403140519886888e-07
population-PCG,one obstacle,ID,4,0.9748015873015874,0.03161501635709308,0.9997519578209108,0.0003397985187587621,0.8055555555555556,0.22448019517251705,0.9999914803372334,6.23388215686953e-06,0.15270391665399075,0.07794058445873589,0.003797956567723304,0.0008556974363794321,0.0037624267279170454,0.0006808431482796001,0.040902155451476574,0.007538125438696733,0.0040517685119993985,0.0007671391536614867,0.7415043288156203,0.055219473449829665,0.0,0.0,5.962436411266481e-07,5.266706471587227e-07
population-PCG,six obstacles,OOD count,4,0.7246973315058514,0.07511036489338559,0.9610888283543828,0.016048387507751435,0.48564051285235554,0.06341042632470746,0.9999851499795395,1.1239105511465532e-05,0.11050520464777946,0.0513866483366908,0.005617365648504347,0.002078550881316583,0.18045298755168915,0.007326539123880848,2.273893654346466,0.08358379201438328,0.183995071798563,0.0070016848437866736,0.5556584744054714,0.010757205259295056,0.0,0.0,2.0142741732342984e-06,1.5482818019796387e-06
population-PCG,three stars,OOD shape,4,0.7944460494299821,0.094742114277268,0.9883907485462669,0.004332462503038103,0.5444478002617537,0.07337635031797791,0.9999969092866356,2.0649177427274917e-06,0.07121220603585243,0.03383026806072146,0.004141147888731211,0.0014731915294261047,0.08773179352283478,0.0026030284390047525,1.0810901522636414,0.04543834205780769,0.08976674266159534,0.0026369551772104215,0.592521482419287,0.015145310478773443,0.0,0.0,1.6486026481743465e-06,1.0959589711027883e-07
population-PCG,two obstacles,ID,4,0.9427012126698646,0.02774077808002508,0.9982073078605935,0.001189266415849535,0.7429363049567653,0.06700854520906348,0.999985055468684,1.0796749004115623e-05,0.1400940027087927,0.0672429501657557,0.006657856982201338,0.0028087819223200604,0.024377344641834497,0.0029845419726208977,0.273824755102396,0.03729733433082967,0.025446235667914152,0.0028952757158676188,0.663339966876469,0.040424929224791725,0.0,0.0,1.4980280980125826e-06,2.6369704452573316e-07
population-PCG,wavenumber 12,OOD frequency,4,0.8582138179756502,0.11570744109174404,0.992968665407665,0.006640948708381803,0.5990384615384616,0.16597103398571683,0.9999869262468695,1.5510131720598098e-05,0.14325884729623795,0.060414805915422254,0.007468506111763418,0.0023094319143394638,0.05854174681007862,0.009775151124500609,0.7008866965770721,0.15050182973547074,0.060367087833583355,0.009307622813943336,0.6456312104995082,0.050985736851775425,0.0,0.0,1.018519107276461e-06,5.595857229668522e-07
population-safe-HB,180 degree aperture,OOD aperture,4,0.4122665459345429,0.10289522276350614,0.9630837817189324,0.005687507061476629,0.254371921182266,0.04424879552787687,0.9821802738351232,0.0009927835538996004,0.5326220542192459,0.05007788183003349,0.5803586095571518,0.19729642513569004,0.15130574069917202,0.04777267514535852,1.3102333843708038,0.45204586412495756,0.164970513433218,0.04604176066940953,0.7553276188891668,0.02848089672545586,0.0,0.0,1.3170625265956915e-06,3.8641475421787404e-07
population-safe-HB,30 percent noise,OOD noise,4,0.6335773162469862,0.10073328323065966,0.9761883165528933,0.0057295640891661115,0.4165581126067448,0.09454614513212461,0.9954760292044588,0.0006995143150077951,0.24786587432026863,0.02617843043511441,0.2832018807530403,0.07388913135955433,0.10689027793705463,0.011932365937537177,1.2013083696365356,0.12307843131569715,0.1111829224973917,0.012489929054665954,0.6538643773792316,0.024603855443411732,0.0,0.0,1.2494849386257556e-06,2.0196030773425082e-07
population-safe-HB,four obstacles,ID,4,0.7757353507696185,0.04034818620413278,0.9813468467342022,0.00529611337290674,0.4754840300900234,0.03244148465000214,0.9920382971346675,0.002161736824521376,0.4415495842695236,0.015251968012029474,0.506863422691822,0.05542774507687681,0.07942738011479378,0.011961169479160483,0.9379594922065735,0.16055265594533355,0.08203977905213833,0.011609846976685313,0.6448574859683418,0.049689256992999205,0.0,0.0,1.4382549409219791e-06,6.403140519886888e-07
population-safe-HB,one obstacle,ID,4,0.9888888888888889,0.015399214345840366,0.9998999728537183,0.0001219409408820484,0.8666666666666667,0.1600333298618343,0.903130748567625,0.02383959378807705,0.7527939528226852,0.11429843428908132,1.93522347509861,1.1481032111029883,0.002353083222260466,0.0015589039125331172,0.01805431161483284,0.021023174009682715,0.0034368007472949103,0.0025680103781880533,0.8117128074355429,0.23475461586636626,0.0,0.0,5.962436411266481e-07,5.266706471587227e-07
population-safe-HB,six obstacles,OOD count,4,0.7152768701998761,0.07598041217381005,0.9619817908427968,0.01630182360409725,0.4632116453138633,0.06565559044210516,0.9928542474836355,0.0010378660639111198,0.4587191641330719,0.031710771205992354,0.5297781080007553,0.08388934232954365,0.1353326551616192,0.004770280201301351,1.4714292883872986,0.07817937064332446,0.1390162780880928,0.005023603651849536,0.7007441825361095,0.021638999572366646,0.0,0.0,2.0142741732342984e-06,1.5482818019796387e-06
