name,class,factor,rank,N,bs,L,final_test_error,output_even_defect,last_layer_active_even_mean,mirror_distance_median,mirror_mismatch_median,mirror_corr_median
rank10_f1_N32_bs2_L2,intermediate,1,10,32,2,2,0.008098860271275043,0.0036599594168365,0.040783289819955826,0.029647477324581596,0.9360985857731299,0.06580148766951935
rank10_f1_N32_bs4_L1,underfit,1,10,32,4,1,0.020766427740454674,0.0026774497237056494,1.2575680017471313,0.03161361325278559,0.916399789135385,0.08451492408664858
rank10_f2_N512_bs2_L3,partial-symmetric,2,10,512,2,3,1.9382012396818027e-05,4.098236331628868e-06,0.0005221911706030369,0.030073436117875003,0.7786189142704467,0.2261031160400251
rank10_f2_N512_bs4_L4,partial-symmetric,2,10,512,4,4,7.872968126321211e-05,2.3983406208571978e-05,0.00016343037714250386,0.029614108333207274,0.8522111429950774,0.15104088689798797
rank10_f2_N512_bs2_L2,output-only/asymmetric,2,10,512,2,2,0.0003250280860811472,4.595302016241476e-05,0.0664687529206276,0.029647477324581596,0.8392724422079406,0.16924400764615627
rank10_f2_N512_bs1_L2,intermediate,2,10,512,1,2,0.0005330360145308077,1.815648647607304e-05,0.003976906184107065,0.029647477324581596,0.9117239319410133,0.09434629905801677
rank10_f2_N512_bs4_L3,intermediate,2,10,512,4,3,0.0005523800500668585,3.5368466342333704e-05,0.002224364783614874,0.030073436117875003,0.830353228214435,0.17628013711428192
rank10_f2_N512_bs2_L4,partial-symmetric,2,10,512,2,4,0.0005535591044463217,8.588996570324525e-05,0.0001077220294973813,0.029614108333207274,0.9270779051622968,0.07468241466554529
rank10_f2_N512_bs4_L2,output-only/asymmetric,2,10,512,4,2,0.0007853745482861996,6.341411790344864e-05,0.04505148157477379,0.029647477324581596,0.7967416528224818,0.20899993333605849
rank10_f2_N512_bs16_L3,partial-symmetric,2,10,512,16,3,0.0009609145345166326,0.00021306914277374744,0.000640994287095964,0.030073436117875003,0.8298895895014038,0.17493611272764026
rank10_f2_N512_bs8_L3,partial-symmetric,2,10,512,8,3,0.0009942976757884026,0.00011531321069924161,0.0006133342394605279,0.030073436117875003,0.8384645896187211,0.1672424365482862
rank10_f2_N512_bs8_L4,intermediate,2,10,512,8,4,0.0010529359569773078,0.00018866363097913563,0.000130702494061552,0.029614108333207274,0.9305302415163834,0.07193427938428877
rank10_f2_N512_bs8_L2,intermediate,2,10,512,8,2,0.00124457071069628,6.131091504357755e-05,0.12302781641483307,0.029647477324581596,0.845818138675292,0.15879664915490707
rank10_f2_N512_bs1_L1,intermediate,2,10,512,1,1,0.0017701316392049193,0.00028176046907901764,3.5700650215148926,0.03161361325278559,0.8778539617076615,0.12922745823184223
rank10_f2_N256_bs2_L2,intermediate,2,10,256,2,2,0.0018406606977805495,7.193895726231858e-05,0.02182268165051937,0.029647477324581596,0.8715437176809601,0.1355516747615151
rank10_f2_N512_bs1_L3,intermediate,2,10,512,1,3,0.001881742151454091,0.0015107705257833004,0.003751821117475629,0.030073436117875003,0.8748510893666669,0.12914621375453297
rank10_f2_N256_bs1_L2,intermediate,2,10,256,1,2,0.002361816121265292,0.00013405215577222407,0.08317997306585312,0.029647477324581596,0.9943428542051639,0.0057373086678774304
rank10_f2_N256_bs2_L3,intermediate,2,10,256,2,3,0.0029895592015236616,0.0005775731988251209,0.0009056641720235348,0.030073436117875003,0.875002915974,0.12911290644740345
rank10_f2_N256_bs4_L2,intermediate,2,10,256,4,2,0.003124634036794305,0.00099544960539788,0.10888966172933578,0.029647477324581596,0.9059906292957013,0.09521377201397947
