tag,parameterization,seed,width,rank,rank_ratio,gamma,frequency,lambda_initial,lambda_plateau,saddle_index,dynamic_amplification,scaled_bv_proxy
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,9,0.00040479018935002387,0.0004041131178382784,2474.55466268776,0.9983273519725548,0.03273316254490055
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,10,0.0003048770595341921,0.00030399096431210637,3289.571459016472,0.9970935982410761,0.030399096431210637
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,11,0.00021596770966425538,0.0002144597820006311,4662.878935487574,0.9930178096254828,0.025949633622076362
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,12,0.0001930434227688238,0.00019125656399410218,5228.578717072619,0.9907437469296146,0.027540945215150714
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,13,0.00018594988796394318,0.00018445127352606505,5421.486015702075,0.9919407618133724,0.031172265225904994
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,14,0.00013343090540729463,0.00013422018673736602,7450.444112082334,1.0059152812286039,0.02630715660052374
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,15,0.00013024016516283154,0.00013142898387741297,7608.671774657593,1.0091278962453336,0.02957152137241792
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,16,0.00012401494313962758,0.00012351783516351134,8095.9968143565075,0.9959915477640743,0.0316205658018589
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,17,0.00011295349395368248,0.00011232321412535384,8902.879140228215,0.9944200059133443,0.03246140888222726
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,18,9.695260814623907e-05,9.510140807833523e-05,10515.091418796848,0.9809061344166051,0.030812856217380613
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,19,8.917073137126863e-05,8.86544949025847e-05,11279.743921600586,0.994210696035064,0.03200427265983308
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,20,7.400869799312204e-05,7.386399374809116e-05,13538.396033802906,0.9980447670482687,0.029545597499236465
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,21,6.927517097210512e-05,6.869580829516053e-05,14556.928942496304,0.9916367918142291,0.030294851458165795
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,22,5.829114161315374e-05,5.799812788609415e-05,17241.935842549217,0.9949732717707922,0.02807109389686957
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,23,5.4759231716161594e-05,5.376584522309713e-05,18599.168223815304,0.9818590133219258,0.028442132123018382
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,24,5.0163482228526846e-05,4.956880729878321e-05,20173.977436502642,0.9881452621842617,0.02855163300409913
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,25,4.064063250552863e-05,4.0886199712986127e-05,24458.130298727265,1.0060424061417865,0.02555387482061633
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,26,3.988535900134593e-05,3.9527236367575824e-05,25299.01131211641,0.9910212006927649,0.026720411784481257
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,27,3.766552254091948e-05,3.71960413758643e-05,26884.581342811343,0.9875355196640337,0.027115914163005073
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,28,4.0278449887409806e-05,4.002168134320527e-05,24986.456501527668,0.9936251632095506,0.031376998173072934
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,29,3.318594099255279e-05,3.323356941109523e-05,30090.057063390363,1.0014351986750394,0.02794943187473109
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,30,3.8805777876405045e-05,3.929782542400062e-05,25446.700656094406,1.0126797496280768,0.03536804288160056
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,31,3.502094841678627e-05,3.431960794841871e-05,29137.86199140062,0.9799736871765758,0.03298114323843038
spectrum_lazy_s0,lazy,0,256,64,0.25,0.0001,32,2.5215631467290223e-05,2.471010884619318e-05,40469.26730369539,0.9799520142197189,0.025303151458501816
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,1,0.056440673768520355,0.0564509853720665,17.714482633191157,1.000182698094435,0.0564509853720665
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,2,0.016103360801935196,0.016098950058221817,62.115852051438274,0.9997260979389564,0.06439580023288727
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,3,0.004666149150580168,0.004659693222492933,214.60640266463733,0.9986164334060278,0.0419372390024364
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,4,0.002021637512370944,0.002024144632741809,494.035843004681,1.0012401433766058,0.03238631412386894
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,5,0.0013661676784977317,0.0013650812907144427,732.557106160784,0.9992047917686916,0.03412703226786107
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,6,0.0009085785713978112,0.0009071527165360749,1102.3502236960262,0.9984306752254318,0.032657497795298696
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,7,0.0006486046477220953,0.0006512526306323707,1535.5024347909248,1.0040825839277827,0.031911378900986165
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,8,0.0005283129285089672,0.000528697099070996,1891.4421920550676,1.0007271647943825,0.03383661434054375
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,9,0.0003346740559209138,0.0003348839527461678,2986.109044042402,1.0006271679012477,0.02712560017243959
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,10,0.0002981959842145443,0.00029773361166007817,3358.7071154791147,0.9984494339999781,0.029773361166007817
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,11,0.00020146573660895228,0.00020134753140155226,4966.537175991872,0.9994132738926745,0.024363051299587823
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,12,0.0002210554521298036,0.00022034882567822933,4538.25881268947,0.9968033973160756,0.031730230897665024
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,13,0.0001986170536838472,0.0001963763643288985,5092.262520580952,0.9887185449920359,0.033187605571583845
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,14,0.00014125237066764385,0.00014123525761533529,7080.385003605646,0.9998788476807315,0.027682110492605716
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,15,0.0001260054123122245,0.00012537244765553623,7976.234162289977,0.9949766867543763,0.028208800722495653
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,16,0.00011347935651428998,0.00011255390563746914,8884.631717898383,0.9918447644994859,0.0288137998431921
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,17,8.511536725563928e-05,8.482352131977677e-05,11789.182816757786,0.9965711722186903,0.024513997661415488
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,18,6.533718988066539e-05,6.584571383427829e-05,15187.01737392989,1.007783070477039,0.021334011282306165
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,19,6.407225737348199e-05,6.486076017608866e-05,15417.642304609566,1.0123064620309916,0.023414734423568007
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,20,5.855590643477626e-05,5.861632598680444e-05,17060.093466538954,1.0010318267738794,0.023446530394721776
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,21,6.035490514477715e-05,6.045446571079083e-05,16541.375202684238,1.0016495853282323,0.026660419378458755
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,22,5.3694602684117854e-05,5.443727059173398e-05,18369.76742459687,1.0138313325826283,0.026347638966399245
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,23,5.504097498487681e-05,5.506553134182468e-05,18160.18070891575,1.0004461468379624,0.029129666079825256
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,24,4.801663453690708e-05,4.8474303184775636e-05,20629.486847663873,1.009531460342494,0.027921198634430766
spectrum_lazy_s1,lazy,1,256,64,0.25,0.0001,25,4.990064917365089e-05,4.980272933607921e-05,20079.22082446107,0.9980377041342503,0.031126705835049506
