source_file,benchmark,suite,tag,d,K,m,R,M,z_mse_exact,z_mse_primal_jacobi,z_mse_dual_diag,u_mse_exact,u_rel_exact,u_mse_primal_jacobi,u_rel_primal_jacobi,u_mse_dual_diag,u_rel_dual_diag,A_rel_exact,A_rel_primal_jacobi,A_rel_dual_diag,step,solver,u_mse,u_rel,z_mse_true_basis,A_rel,A0_rel,Abasis_rel_raw,loss,loss_u,loss_prompt,loss_z,loss_A,z_scale,attn_entropy_last,score_corr_linear_kernel_last
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,1000.0,exact,2.3394779447016845e-08,0.0002686242805793,3.465240001678467,0.0002230707759736,0.0064329618432772,1.0783460140228271,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,1250.0,exact,2.2622579365361162e-08,0.0002676471485756,3.333721876144409,0.0002240873000118,0.0064336934862381,1.0783708095550537,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,1500.0,exact,2.3043329022698344e-08,0.0002640738675836,3.228394031524658,0.0002201784227509,0.0064346016191302,1.0784022808074951,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,1750.0,exact,2.534167187207004e-08,0.0002772436710074,3.4173717498779297,0.0002282335044583,0.0064355222643681,1.0784379243850708,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,2000.0,exact,2.3517353398005983e-08,0.0002673421404324,3.344087600708008,0.0002235512947663,0.0064357652672957,1.0784809589385986,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,2250.0,exact,2.6010953391164552e-08,0.0002794921165332,3.523282051086426,0.0002300989290233,0.0064356915103095,1.0785304307937622,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,2500.0,exact,2.5126754010784683e-08,0.0002767020487226,3.375598192214966,0.0002271080738864,0.0064354300681354,1.0785880088806152,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,2750.0,exact,2.4539104970244807e-08,0.0002773621235974,3.367164373397827,0.0002303816290805,0.0064355966798988,1.0786551237106323,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,3000.0,exact,2.3321920394892004e-08,0.0002702819765545,3.2424840927124023,0.0002288480318384,0.0064346589125033,1.0787307024002075,,,,,,,,
data/transformers/runs_pure_icl_train_exact/eval_metrics.csv,pure_icl_parametric,train_exact,eval,32.0,8.0,16.0,32.0,512.0,,,,,,,,,,,,,3250.0,exact,2.585290204137891e-08,0.0002817765634972,3.4401068687438965,0.0002346522815059,0.0064335696798685,1.078821897506714,,,,,,,,
